ticker,company,sector,industry_group,theme,subtheme,supply_chain_layer,business_quality_score,latest_close,daily_return,weekly_return,monthly_return,ma20,ma50,ma200,above_20dma,above_50dma,above_200dma,high_52w,low_52w,distance_to_52w_high,latest_volume,avg_volume_20d,volume_ratio,updated_at
SMR,NuScale Power,Industrials,Small Modular Reactor,Nuclear,SMR,Reactor Developer,6,7.639999866485596,-0.0861243803540801,-0.15393132974415236,-0.28195492293567836,9.655499958992005,10.772600011825562,18.1519499707222,False,False,False,53.43000030517578,7.639999866485596,-0.8570091741933696,26135956,30317637.8,0.8620709889211751,2026-07-16
OKLO,Oklo,Industrials,Advanced Nuclear,Nuclear,SMR,Reactor Developer,7,41.70000076293945,-0.08732759868014306,-0.1536431829610706,-0.3134672438159859,51.25650005340576,59.59719985961914,80.74804983139038,False,False,False,174.13999938964844,41.70000076293945,-0.7605374933438855,10020424,9742286.2,1.0285495410717866,2026-07-16
RGTI,Rigetti Computing,Technology,Quantum Computing,Quantum,Quantum Hardware,Quantum Hardware,4,14.100000381469727,-0.07540981105116551,-0.17010002522549994,-0.3788546296223164,18.086250162124635,19.999000129699706,23.359150052070618,False,False,False,56.34000015258789,12.899999618530273,-0.7497337532253794,25539238,26983126.9,0.9464891928444364,2026-07-16
QBTS,D-Wave Quantum,Technology,Quantum Computing,Quantum,Quantum Hardware,Quantum Hardware,4,16.920000076293945,-0.07389164464394171,-0.20037806246188228,-0.35567403165196365,21.846000003814698,23.437799987792967,23.944099955558777,False,False,False,44.779998779296875,12.979999542236328,-0.6221527347580776,16916499,22921004.95,0.7380347867339037,2026-07-16
IONQ,IonQ,Technology,Quantum Computing,Quantum,Quantum Hardware,Quantum Hardware,6,35.099998474121094,-0.06424953226480445,-0.2159928944554138,-0.42628312685458325,48.31299991607666,54.51440010070801,48.368600034713744,False,False,False,82.08999633789062,26.59000015258789,-0.5724205135830924,24352451,21944407.55,1.1097338100613248,2026-07-16
MU,Micron,Technology,Memory,AI Infrastructure,Memory,HBM,9,853.2000122070312,-0.05648694589613035,-0.13960711588518027,-0.21568095088528316,1033.0371459960938,929.3970690917969,479.4822225189209,False,False,True,1213.3734130859375,104.71192932128906,-0.2968364041889525,45784925,52471451.25,0.8725682996999249,2026-07-16
SNDK,Sandisk,Technology,Memory,AI Infrastructure,Memory,NAND,6,1411.0799560546875,-0.12626628108068882,-0.24064859184962073,-0.33056280581134945,1907.18798828125,1725.3295971679688,775.5275997161865,False,False,True,2335.0,40.689998626708984,-0.3956831023320396,17014812,12865050.6,1.3225608300366887,2026-07-16
ORCL,Oracle,Technology,Enterprise Software,AI Infrastructure,NeoCloud,AI Cloud,8,124.20999908447266,-0.06249532844285843,-0.13575008329056437,-0.35297902740669607,148.12592887878418,179.26604110717773,190.96632488250734,False,False,False,324.6299743652344,124.20999908447266,-0.617379758824345,54322695,38603734.75,1.4071875519764314,2026-07-16
KEYS,Keysight Technologies,Technology,Electronic Test & Measurement,AI Infrastructure,Optical Test & Metrology,R&D Test & Standards,9,312.760009765625,-0.030832580189380954,-0.02920819216534598,-0.1237742824384993,334.61549987792966,342.13239807128906,260.8615991973877,False,False,True,373.3399963378906,158.50999450683594,-0.16226492517945446,1209345,1641857.25,0.7365713432151303,2026-07-16
FORM,FormFactor,Technology,Semiconductor Test Equipment,AI Infrastructure,Optical Test & Metrology,Wafer-Level Test & Probing,8,107.11000061035156,-0.07512302160131246,-0.10323176137829893,-0.29809963088930735,130.37499961853027,130.6975994873047,90.33224962234497,False,False,True,159.92999267578125,27.6200008392334,-0.33026945841552835,1072676,2069593.8,0.518302673693746,2026-07-16
AEHR,Aehr Test Systems,Technology,Semiconductor Test Equipment,AI Infrastructure,Optical Test & Metrology,Wafer & Package Burn-In,6,84.19999694824219,-0.04089308497376032,0.10484185749580255,-0.27338627076332067,87.13249969482422,94.41039978027344,50.238249959945676,False,False,True,116.58000183105469,15.069999694824219,-0.2777492226302838,4286646,2595347.3,1.6516656556908589,2026-07-16
DELL,Dell Technologies,Technology,AI Server & Storage,AI Infrastructure,AI Servers,Systems & Storage,7,391.3800048828125,-0.051613812569059836,-0.1306916533658099,-0.0432444376871306,420.9449981689453,361.7677981567383,199.44675273895263,False,True,True,465.9599914550781,110.7273941040039,-0.16005663134161097,5799648,8128157.4,0.7135255525440489,2026-07-16
CLS,Celestica,Technology,Electronics Manufacturing Services,AI Infrastructure,AI Servers,Contract Manufacturing,7,303.8599853515625,-0.09233206283866446,-0.14352560348085164,-0.2468460127455986,352.3739959716797,371.25539733886717,322.7138496398926,False,False,False,472.3999938964844,156.91000366210938,-0.35677394310435484,2764375,1766638.75,1.5647652922817412,2026-07-16
IREN,IREN Limited,Technology,AI Data Center & Bitcoin Mining,AI Infrastructure,NeoCloud,AI Cloud & Power Infrastructure,5,34.83000183105469,-0.09012531500152665,-0.1651485903176183,-0.42760882983641246,45.44799995422363,53.13640007019043,49.072475080490115,False,False,False,76.41000366210938,15.399999618530273,-0.5441696091904994,40499325,39082821.25,1.0362436411880067,2026-07-16
APH,Amphenol,Technology,Interconnect Components,AI Infrastructure,Connectivity,Connectors & Cables,8,153.13999938964844,-0.024834399281834174,-0.056089779310929844,-0.03290855062461828,162.48351593017577,148.15993682861327,140.0551837539673,False,True,True,176.32000732421875,100.0281753540039,-0.13146555678135108,3871700,7973765.0,0.4855548163257884,2026-07-16
GLW,Corning,Technology,Optical Fiber & Materials,AI Infrastructure,Optical,Optical Fiber & Materials,7,158.38999938964844,-0.09185255395955982,-0.1766815917998803,-0.15696191572678553,200.43400039672852,192.1007635498047,131.60264888763427,False,False,True,255.69000244140625,53.317176818847656,-0.38053894216710726,17575850,17291097.5,1.0164681565181157,2026-07-16
CIEN,Ciena,Technology,Optical Networking Equipment,AI Infrastructure,Optical,Connectivity,7,388.80999755859375,-0.07085502676942845,-0.15903880123224112,-0.16098056907271563,449.18099822998045,503.36059936523435,338.90434967041017,False,False,True,627.0,84.36000061035156,-0.37988836115056823,2379621,2773721.05,0.8579164801017032,2026-07-16
STX,Seagate Technology,Technology,Storage Hardware,AI Infrastructure,Storage,HDD Storage,6,745.489990234375,-0.09997585268502007,-0.16245551827149463,-0.26774485996089004,926.1194122314453,878.9322009277344,484.41320594787595,False,False,True,1093.260498046875,145.38954162597656,-0.3181039728717875,6147963,5181918.15,1.186426111342573,2026-07-16
STRL,Sterling Infrastructure,Industrials,Infrastructure Construction,AI Infrastructure,Data Center Construction,Construction & Site Infrastructure,6,641.3499755859375,-0.041072383357941056,-0.09307522790115508,-0.25998362902523264,765.0469940185546,808.56919921875,488.34809936523436,False,False,True,993.739990234375,242.00999450683594,-0.3546098759347762,486621,910126.05,0.5346742904458124,2026-07-16
EQIX,Equinix,Real Estate,Data Center REIT,AI Infrastructure,Data Centers,Colocation & Interconnection,8,1009.1400146484375,-0.013162489007285227,-0.024863007517998748,-0.05189874854935561,1052.416000366211,1061.7415466308594,911.2320678710937,False,False,True,1115.93994140625,718.5999145507812,-0.09570400950361968,462658,652587.9,0.7089589004025358,2026-07-16
NET,Cloudflare,Technology,Edge Cloud & Security,Software,Edge Cloud & Security,SaaS & Edge Network,8,272.4599914550781,-0.0021242934064306107,-0.012110212058449421,0.1559118564950126,249.50699768066406,236.08499908447266,210.43479988098144,True,True,True,281.75,160.19000244140625,-0.032972523673192144,2115885,3240479.25,0.6529543430960096,2026-07-16
NOW,ServiceNow,Technology,Enterprise Software,Software,Workflow Automation,SaaS,9,104.01000213623047,-0.00687483240355935,-0.0443770154738482,-0.0013442091944055878,102.01700057983399,103.11880065917968,129.2286499786377,True,True,False,199.23599243164062,83.0,-0.4779557605691297,18373688,21834634.4,0.8414928165685248,2026-07-16
SNOW,Snowflake,Technology,Data Cloud Software,Software,Data Cloud,SaaS,8,270.0199890136719,-0.00680474541781706,0.009458293288209019,0.12143861775320008,252.7414978027344,220.5987991333008,208.47135032653807,True,True,True,280.1600036621094,121.11000061035156,-0.03619365546791964,3340764,6237608.2,0.5355841362399132,2026-07-16
APP,AppLovin,Technology,AdTech Software,Software,AdTech & AI Applications,Application Software,8,434.4800109863281,-0.04031100116433661,-0.16515186076717614,-0.16584106438303348,488.9819961547852,506.2424005126953,533.2764761352539,False,False,False,733.5999755859375,350.0,-0.4077426043542296,5151536,5742756.8,0.8970493056575197,2026-07-16
CRWD,CrowdStrike,Technology,Cybersecurity Software,Software,Cybersecurity,SaaS,8,203.75999450683594,-0.014557284438891371,0.0270161329397427,0.17625667058675432,186.8891242980957,170.2885498046875,129.15851249694825,True,True,True,210.72999572753906,87.5625,-0.03307550591760511,7561686,11132394.3,0.6792506442212525,2026-07-16
FLNC,Fluence Energy,Industrials,Energy Storage,AI Infrastructure,Energy Storage,Grid Storage,6,14.420000076293945,-0.061808706333024155,-0.13859018677090773,-0.40363937575272435,18.511499881744385,20.519999961853028,18.916200013160704,False,False,False,32.22999954223633,6.75,-0.5525907452342027,6534273,9007283.65,0.7254432361525552,2026-07-16
BE,Bloom Energy,Industrials,Fuel Cells & Distributed Power,AI Infrastructure,Power,On-site Power Generation,6,206.72999572753906,-0.136394053343165,-0.19566568919064775,-0.24688526146616008,277.5380012512207,277.9874011230469,172.6199506378174,False,False,True,345.8500061035156,24.309999465942383,-0.40225533589939233,16197840,15445592.0,1.0487030862915452,2026-07-16
KLAC,KLA,Technology,Semicap Equipment,AI Infrastructure,Equipment,Process Control & Metrology,9,219.3699951171875,-0.022850801259743925,-0.04422276475397957,-0.144489573240696,243.50949935913087,216.77878784179688,157.16307552337648,False,True,True,301.7099914550781,84.03205871582031,-0.27291106913888963,14751975,15241323.75,0.9678932907648523,2026-07-16
RMBS,Rambus,Technology,Semiconductor IP,AI Infrastructure,Memory Interface,Memory & IP,7,101.41999816894531,-0.01428711467998145,-0.11136422842673832,-0.29220459961623546,118.20050086975098,131.838800201416,109.30164985656738,False,False,False,170.66000366210938,62.849998474121094,-0.40571899687903856,3460804,3770415.2,0.9178840569070483,2026-07-16
LITE,Lumentum,Technology,Optical Components,AI Infrastructure,Optical,Connectivity,6,706.22998046875,-0.060864387674534615,-0.10122559665733943,-0.26222265296727376,798.4234954833985,874.6066003417968,569.3768999481201,False,False,True,1053.0899658203125,99.62999725341797,-0.32937355459594875,3926185,4876874.25,0.8050617667658747,2026-07-16
