date,nav,shares_outstanding,total_net_assets
2024-04-12,37.246912,152150000,5667117586.64
2024-04-15,36.586341,152150000,5566611790.34
2024-04-16,36.026716,151500000,5458047496.37
2024-04-17,35.740128,151600000,5418203351.69
2024-04-18,35.748099,151250000,5406899928.7
2024-04-19,35.890602,151150000,5424864441.56
2024-04-22,36.166327,150800000,5453882131.43
2024-04-23,36.480278,150800000,5501225968.83
2024-04-24,36.630415,150900000,5527529690.98
2024-04-25,36.439491,150050000,5467745617.6
2024-04-26,36.464936,149550000,5453331144.25
2024-04-29,36.857996,149550000,5512113370.04
2024-04-30,36.186638,149550000,5411711762.11
2024-05-01,36.23035,149550000,5418248785.05
2024-05-02,36.727718,150200000,5516503284.36
2024-05-03,37.038402,150550000,5576131457.7
2024-05-06,37.029236,150550000,5574751461.77
2024-05-07,37.423532,150550000,5634112696.86
2024-05-08,37.086285,150300000,5574068565.64
2024-05-09,37.942285,149550000,5674268679.73
2024-05-10,37.804191,150500000,5689530707.25
2024-05-13,37.913995,150650000,5711743277.33
2024-05-14,38.174746,151200000,5772021557.31
2024-05-15,38.818078,151500000,5880938812.38
2024-05-16,38.760982,154600000,5992447769.43
2024-05-17,38.757807,154750000,5997770670.8
2024-05-20,38.493823,154300000,5939596841.44
2024-05-21,38.48871,154800000,5958052331.23
2024-05-22,38.16258,154850000,5909475462.06
2024-05-23,37.339278,155150000,5793188913.9
2024-05-24,37.344071,155150000,5793932538.26
2024-05-28,37.10956,154700000,5740848948.16
2024-05-29,36.766542,154600000,5684107465.53
2024-05-30,37.321627,154700000,5773655656.91
2024-05-31,38.021887,154350000,5868678224.84
2024-06-03,37.897037,153950000,5834248821.47
2024-06-04,38.255388,154250000,5900893651.2
2024-06-05,38.20078,153950000,5881010018.72
2024-06-06,38.280373,154400000,5910489622.06
2024-06-07,37.975831,154600000,5871063535.0
2024-06-10,38.145111,154650000,5899141431.94
2024-06-11,38.040593,154350000,5871565566.52
2024-06-12,38.323828,154350000,5915282910.2
2024-06-13,38.510613,153650000,5917155648.3
2024-06-14,38.536425,154700000,5961584892.75
2024-06-17,38.309745,156050000,5978235774.94
2024-06-18,38.465292,156050000,6002508854.69
2024-06-20,38.367317,155400000,5962281114.48
2024-06-21,38.475073,156100000,6005958929.55
2024-06-24,38.354307,156150000,5989025052.11
2024-06-25,37.812229,156850000,5930848104.45
2024-06-26,37.76324,156850000,5923164213.31
2024-06-27,38.120522,157100000,5988734054.14
2024-06-28,38.396772,161700000,6208758094.22
2024-07-01,38.041185,157300000,5983878427.86
2024-07-02,38.193986,157300000,6007913996.29
2024-07-03,38.178054,157500000,6013043463.43
2024-07-05,38.300733,157300000,6024705329.75
2024-07-08,38.366012,157350000,6036891932.13
2024-07-09,38.39197,156650000,6014102082.88
2024-07-10,38.676767,157050000,6074186288.22
2024-07-11,39.705819,157250000,6243740039.34
2024-07-12,39.978127,157300000,6288559319.81
2024-07-15,40.1452,157250000,6312832731.94
2024-07-16,40.559992,157700000,6396310745.26
2024-07-17,40.88712,158550000,6482652858.87
2024-07-18,40.554764,158600000,6431985613.64
2024-07-19,40.505266,159400000,6456539455.25
2024-07-22,40.901238,159400000,6519657367.02
2024-07-23,40.83075,159400000,6508421555.58
2024-07-24,40.28361,159700000,6433292448.06
2024-07-25,40.053755,159750000,6398587419.98
2024-07-26,40.722137,161850000,6590877832.95
2024-07-29,40.974587,161100000,6601005924.1
2024-07-30,41.285338,161100000,6651067936.26
2024-07-31,41.164545,161100000,6631608219.07
2024-08-01,41.823774,161350000,6748265959.8
2024-08-02,41.861412,161450000,6758524909.02
2024-08-05,40.633309,161800000,6574469365.81
2024-08-06,41.565373,160900000,6687868450.6
2024-08-07,41.23322,165050000,6805542921.94
2024-08-08,41.599966,166850000,6940954325.31
2024-08-09,41.802899,171250000,7158746535.75
2024-08-12,41.548818,171950000,7144319226.96
2024-08-13,41.844284,172050000,7199309018.12
2024-08-14,42.00724,172050000,7227345709.61
2024-08-15,41.864336,172050000,7202758933.03
2024-08-16,41.848659,174500000,7302590993.03
2024-08-19,42.116986,174300000,7340990697.85
2024-08-20,42.142636,174300000,7345461486.71
2024-08-21,42.295517,173100000,7321353939.52
2024-08-22,42.536243,173100000,7363023606.74
2024-08-23,43.386507,173800000,7540574923.5
2024-08-26,43.334448,173800000,7531527001.4
2024-08-27,43.442678,173950000,7556853808.04
2024-08-28,43.288923,174100000,7536601464.13
2024-08-29,43.114959,175450000,7564519469.3
2024-08-30,43.541945,176000000,7663382339.81
2024-09-03,43.666837,176150000,7691913304.28
2024-09-04,43.77614,176550000,7728677437.03
2024-09-05,43.621081,176350000,7692577710.31
2024-09-06,43.623823,177200000,7730141446.4
2024-09-09,44.151824,177650000,7843571502.46
2024-09-10,44.931141,177650000,7982017252.02
2024-09-11,44.82601,178250000,7990236323.74
2024-09-12,44.876473,178250000,7999231297.37
2024-09-13,45.200301,178500000,8068253795.92
2024-09-16,45.352814,178500000,8095477259.09
2024-09-17,44.971034,178800000,8040820799.68
2024-09-18,44.85497,179000000,8029039628.6
2024-09-19,44.751696,180650000,8084393813.94
2024-09-20,44.679154,181600000,8113734298.59
2024-09-23,44.867372,181400000,8138941320.19
2024-09-24,44.84786,181000000,8117462701.68
