date,nav,shares_outstanding,total_net_assets
2018-11-08,46.320707,71200000,3298034316.35
2018-11-09,45.39767,71350000,3239123775.96
2018-11-12,44.69619,71500000,3195777609.65
2018-11-13,44.585332,71400000,3183392672.14
2018-11-14,44.734508,71500000,3198517331.81
2018-11-15,45.072559,71300000,3213673422.07
2018-11-16,44.862519,72350000,3245803236.77
2018-11-19,43.530691,73050000,3179916952.18
2018-11-20,42.944796,73250000,3145706280.73
2018-11-21,43.443999,70400000,3058457518.07
2018-11-23,42.958887,70550000,3030749510.38
2018-11-26,43.850483,70400000,3087073991.9
2018-11-27,43.998427,70000000,3079889898.46
2018-11-28,44.911728,69450000,3119119503.79
2018-11-29,45.077019,69000000,3110314311.9
2018-11-30,45.064074,69000000,3109421092.5
2018-12-03,45.073681,70350000,3170933479.86
2018-12-04,43.728859,70650000,3089443909.05
2018-12-06,44.224042,70750000,3128850971.93
2018-12-07,43.398196,74100000,3215806322.28
2018-12-10,43.727703,70600000,3087175822.07
2018-12-11,43.782288,70350000,3080083961.94
2018-12-12,44.242481,71350000,3156701032.94
2018-12-13,44.06301,72800000,3207787155.18
2018-12-14,43.607539,72850000,3176809245.86
2018-12-17,42.726398,71850000,3069891727.63
2018-12-18,42.964312,71700000,3080541155.95
2018-12-19,42.054951,70800000,2977490529.62
2018-12-20,41.305548,72650000,3000848036.1
2018-12-21,39.798901,68950000,2744134211.69
2018-12-24,38.991329,67700000,2639712970.25
2018-12-26,41.162248,66950000,2755812476.2
2018-12-27,41.332456,67550000,2792007403.96
2018-12-28,41.210212,67500000,2781689278.16
2018-12-31,41.261938,67300000,2776928449.88
2019-01-02,41.82905,66500000,2781631852.17
2019-01-03,41.138544,67950000,2795364087.61
2019-01-04,42.918964,67200000,2884154375.87
2019-01-07,43.38641,66750000,2896042895.58
2019-01-08,44.117411,68050000,3002189851.78
2019-01-09,44.164029,70550000,3115772257.42
2019-01-10,44.275354,69250000,3066068280.63
2019-01-11,44.062212,69250000,3051308149.14
2019-01-14,43.874581,69150000,3033927280.68
2019-01-15,44.604776,69700000,3108952881.56
2019-01-16,44.436201,70100000,3114977659.05
2019-01-17,44.608466,85000000,3791719620.29
2019-01-18,44.963254,84950000,3819628446.05
2019-01-22,44.006923,86250000,3795597068.56
2019-01-23,43.820735,86600000,3794875632.9
2019-01-24,44.065854,87550000,3857965557.05
2019-01-25,44.62103,87750000,3915495400.71
2019-01-28,44.211282,88000000,3890592847.96
2019-01-29,43.685113,88500000,3866132500.53
2019-01-30,44.309617,88100000,3903677289.22
2019-01-31,46.12477,88250000,4070510959.8
2019-02-01,45.967741,88650000,4075040210.14
2019-02-04,46.387502,88950000,4126168259.15
2019-02-05,46.909917,89950000,4219546992.43
2019-02-06,45.876023,90000000,4128842059.55
2019-02-07,45.397029,89300000,4053954705.47
